shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,識別コード,A
rirekiNo,int2,int,,,,,履歴番号,A
shichosonCode,UDD023LasdecCode,LasdecCode,,,,,市町村コード,A
daichoShubetsu,varchar,RString,,,,,台帳種別,A
nyushoShisetsuShurui,varchar,RString,,,,,入所施設種類,A
nyushoShisetsuCode,DbUDD004JigyoshaNo,DbUDD004JigyoshaNo,,,,,入所施設コード,A
nyushoShoriYMD,UDD015YMD,FlexibleDate,,,,,入所処理年月日,A
nyushoYMD,UDD015YMD,FlexibleDate,,,,,入所年月日,A
taishoShoriYMD,UDD015YMD,FlexibleDate,,,,,退所処理年月日,A
taishoYMD,UDD015YMD,FlexibleDate,,,,,退所年月日,A
roomKigoNo,varchar,RString,,,,,部屋記号番号,A
hokenshaNo,DbUDD003HokenshaNo,DbUDD003HokenshaNo,,,,,保険者番号,A
