shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,shikibetsuCode,A
idoYMD,UDD015YMD,FlexibleDate,,,,,idoYMD,A
edaNo,bpchar,RString,,,,,edaNo,A
idoJiyuCode,varchar,RString,,,,,idoJiyuCode,A
shichosonCode,UDD023LasdecCode,LasdecCode,,,,,shichosonCode,A
tekiyoJogaiTekiyoJiyuCode,varchar,RString,,,,,tekiyoJogaiTekiyoJiyuCode,A
tekiyoYMD,UDD015YMD,FlexibleDate,,,,,tekiyoYMD,A
tekiyoTodokedeYMD,UDD015YMD,FlexibleDate,,,,,tekiyoTodokedeYMD,A
tekiyoUketsukeYMD,UDD015YMD,FlexibleDate,,,,,tekiyoUketsukeYMD,A
tekiyoJogaikaijokaijoJiyuCode,varchar,RString,,,,,tekiyoJogaikaijokaijoJiyuCode,A
kaijoYMD,UDD015YMD,FlexibleDate,,,,,kaijoYMD,A
kaijoYMDDCmp,varchar,RString,,,,,kaijoYMDDCmp,A
kaijoTodokedeYMD,UDD015YMD,FlexibleDate,,,,,kaijoTodokedeYMD,A
kaijoUketsukeYMD,UDD015YMD,FlexibleDate,,,,,kaijoUketsukeYMD,A
nyushoTsuchiHakkoYMD,UDD015YMD,FlexibleDate,,,,,nyushoTsuchiHakkoYMD,A
taishoTsuchiHakkoYMD,UDD015YMD,FlexibleDate,,,,,taishoTsuchiHakkoYMD,A
henkoTsuchiHakkoYMD,UDD015YMD,FlexibleDate,,,,,henkoTsuchiHakkoYMD,A
logicalDeletedFlag,bool,boolean,,,,,logicalDeletedFlag,A
